"Story","Title","Result","Date","Stability","Duration (s)"
"Login on SwagLabs website","Successful login on the website","SUCCESS","2025-01-03T15:48:07.9961785-05:00[America/Bogota]","0.0","19.55"
"Buy on SwagLabs Website","Successful login on the website","SUCCESS","2025-01-07T20:58:37.8754411-05:00[America/Bogota]","0.0","10.61"
