"Story","Title","Result","Date","Stability","Duration (s)"
"Login on SwagLabs website","Successful login on the website","PENDING","2025-01-02T10:19:38.6648271-05:00[America/Bogota]","0.0","0.55"
"Login on SwagLabs website","Successful login on the website","SUCCESS","2025-01-02T13:26:36.4468468-05:00[America/Bogota]","0.0","9.32"
