"Story","Title","Result","Date","Stability","Duration (s)"
"Login on SwagLabs website","Unsuccessful login on the website by incorrect password","ERROR","2025-01-02T12:42:43.540509-05:00[America/Bogota]","0.0","5.53"
"Login on SwagLabs website","Unsuccessful login on the website by incorrect username","ERROR","2025-01-02T12:46:29.819402-05:00[America/Bogota]","0.0","7.69"
