"Story","Title","Result","Date","Stability","Duration (s)"
"Buy on SwagLabs Website","Successful purchase on the website","ERROR","2025-01-07T20:48:12.050169-05:00[America/Bogota]","0.0","1.52"
"Buy on SwagLabs Website","Successful login on the website","SUCCESS","2025-01-07T20:58:37.8754411-05:00[America/Bogota]","0.0","10.61"
"Buy on SwagLabs Website","Successful purchase on the website","SUCCESS","2025-01-07T21:25:13.5569156-05:00[America/Bogota]","0.0","30.33"
