"Story","Title","Result","Date","Stability","Duration (s)"
"Login on SwagLabs website","Successful login on the website","PENDING","2025-01-02T10:19:38.6648271-05:00[America/Bogota]","0.0","0.55"
"Login on SwagLabs website","Successful login on the website","SUCCESS","2025-01-02T13:26:36.4468468-05:00[America/Bogota]","0.0","9.32"
"Login on SwagLabs website","Unsuccessful login on the website by incorrect username","SUCCESS","2025-01-02T13:26:45.8295995-05:00[America/Bogota]","0.0","5.58"
"Login on SwagLabs website","Unsuccessful login on the website by incorrect password","SUCCESS","2025-01-02T13:26:51.4448357-05:00[America/Bogota]","0.0","5.29"
"Login on SwagLabs website","Unsuccessful login on the website with no credentials","SUCCESS","2025-01-02T16:30:28.6116786-05:00[America/Bogota]","0.0","12.09"
